disposition,orbit_period_days,stellar_radius_sun,stellar_effective_temp_kelvin,planet_equilibrium_temp_kelvin,stellar_surface_gravity_log10_cm_s2
1,14.7741056,1.23,6053.0,928.0,4.3135
0,79.3739596,0.77,5168.33,368.0,4.60584
1,18.1663644,1.14,5572.9,562.0,3.83
1,105.5850893,1.1142,5909.57,429.5758177,4.26154
0,27.2149622,0.989667,6270.0,573.0537137,4.54537
1,19.1807264,0.937973,5262.4,611.0168649,3.98
1,1.2124493,0.518,3751.0,1092.1250255,4.75718
1,4.5541831,0.635812,4280.0,694.0557871,4.61209
1,41.4856125,3.4868701,6354.0,1035.0005398,4.24472
1,13.7738265,1.01825,5455.96,730.4597521,4.46737
1,1.9142544,1.59,6734.0,2462.0,4.18582
1,5.0780325,0.334125,3318.0,431.253644,4.9581
1,70.3607265,2.0982201,6308.0,685.259664,3.98679
1,91.6827832,1.01814,5802.0,399.0780255,4.44521
1,10.1944993,1.32661,6082.0,994.4291411,4.33287
0,14.64319,2.04178,6516.0,1134.2791474,3.99366
1,4.1782656,0.404403,3442.0,492.7241583,4.893
1,17.9453645,0.404403,3442.0,303.1226876,4.893
1,13.896396,0.888163,5522.87,686.1495861,4.67156
1,8.1213102,0.888163,5522.87,820.6868999,4.67156
1,3.9287851,0.986943,5668.15,1123.4398689,4.52573
1,27.3613778,0.44128,3050.0,243.7718547,4.438
1,29.0497517,1.8,8208.0,1115.0,4.25979
1,31.8132264,1.98893,6028.84,672.8454841,3.96199
1,3.3088922,2.62,6188.0,3184.0,4.27166
1,25.0571312,1.15281,5696.0,688.6094029,4.26563
1,24.2454967,0.465271,3535.0,122.2177444,4.84874
1,14.2545623,1.09597,5739.0,785.7055082,4.28235
1,14.1758947,0.864173,5723.87,690.9961983,4.438
1,19.5901578,0.864173,5723.87,620.3638839,4.438
1,6.2036219,0.864173,5723.87,910.1452592,4.438
1,3.79589,0.864173,5723.87,1072.0653989,4.438
0,2.2645386,0.411471,3443.0,616.7174475,4.81617
1,3.4447015,0.63,3912.0,1086.0,4.62642
1,3.0300715,0.857369,5242.82,1077.4145935,4.52404
1,12.72038,1.48,6212.0,705.0,4.17664
1,6.238755,1.47768,6212.0,1255.4607699,4.17664
1,3.2947689,0.62326,3853.0,700.5995436,4.63168
1,0.7645807,0.62326,3853.0,1140.0845694,4.63168
1,12.6396982,0.789425,5217.0,640.0266601,4.59186
1,1.8428078,4.09,5080.0,1785.0,4.48159
1,1.7208555,1.33402,5832.83,1758.3994294,4.20893
1,4.7802597,2.3387201,5826.0,1654.2989516,3.7213
1,0.3814849,0.71,4255.0,1539.0,4.55641
1,4.6595169,0.490729,3489.0,519.9004855,4.74553
1,6.4002807,0.720551,4599.0,699.0536347,4.58487
1,4.8204512,0.52,3692.0,572.0,4.71598
1,18.6548829,0.876154,5141.0,585.8091542,4.49143
1,4.3074513,0.876154,5141.0,954.8757629,4.49143
1,5.9041278,0.876154,5141.0,859.6105665,4.49143
1,37.9251983,0.876154,5141.0,462.4282696,4.49143
1,15.9234883,1.08,5711.85,735.0,4.38315
1,4.3601536,0.874131,5227.0,961.6063113,4.50479
1,13.0791581,1.0,5453.0,735.0,4.41707
1,4.6517186,0.85,5154.0,1343.0,4.47072
1,9.1549418,0.85,5154.0,710.0,4.47072
1,19.9815709,0.85,5154.0,562.0,4.47072
1,,0.852266,5154.0,465.178087,4.47072
0,1.4415044,1.58365,6603.0,2198.3076824,4.438
1,5.9630544,0.94,5273.0,,4.438
1,1.1219715,0.624,5780.0,1479.5361862,4.67672
0,4.6756655,1.45,5779.0,1085.0,4.88162
1,1.0180114,1.0933,5451.0,1801.3210938,4.33923
1,10.288886,0.87,5126.0,483.0,4.49772
0,1.0332441,0.156193,2972.0,516.1833775,5.15741
1,5.4526479,1.57,6509.0,1271.0,4.17233
1,10.2613397,1.49,6124.0,1152.0,4.15391
1,3.4779776,0.765001,4699.0,897.2038496,4.54638
1,3.0353977,1.07224,5751.0,1324.2410445,4.35036
1,3.1274634,0.693431,4225.0,813.0378617,4.5756
1,7.4931613,0.693431,4225.0,607.6028794,4.5756
1,49.825166,0.693431,4225.0,323.1161011,4.5756
1,18.0574016,1.01,5897.0,704.2235859,4.45922
1,20.8774413,0.9,5396.0,572.0,4.50457
1,1.0214555,0.82,5098.0,1449.0,4.54682
1,2.7441672,0.97,5040.0,1009.0,4.38482
1,2.2047452,1.99,6532.23,2634.0,3.96818
1,10.8948421,0.435666,3618.0,390.8242112,4.79432
1,18.8016111,0.435666,3618.0,325.8292621,4.79432
1,6.7900981,2.00068,6378.0,1192.2564672,4.438
1,8.157721,0.9,5091.2,860.0,4.47
1,4.2529641,0.848906,5591.0,994.5309519,4.38111
1,9.2378703,0.85,5591.0,757.0,4.38111
1,3.7955178,0.445372,3424.0,525.9431131,4.438
0,14.3034613,0.83,5056.6,551.0,4.53
1,6.1349783,2.05,5828.7,1509.0,3.84
1,3.3159772,0.81,4972.7,923.0,4.54
1,4.6313014,1.07,5736.0,1078.0,4.39
1,19.3203478,0.8,4968.1,534.0,4.5
